id,ai_title,ai_turkish_title,ai_synopsis
1,Love for Rent,Kiralık Aşk,"Defne is a young woman struggling to support her grandmother and siblings. Facing insurmountable life obstacles, she becomes entangled in a high-stakes deal: she must make the famous, wealthy businessman Ömer fall in love with her and marry her before time runs out.

Thrust into a world of wealth and expectations, Defne must navigate her stark differences with Ömer. As genuine feelings begin to blur the lines of her secret arrangement, she faces the ultimate question: can true love blossom from a calculated deception?"
2,Daydreamer,Erkenci Kuş,"Sanem is a cheerful young woman who dreams of becoming a writer. To avoid an unwanted arranged marriage, she secures a job at the prestigious advertising agency where her sister works, plunging herself into a completely new and glamorous world.

The agency is run by Aziz, who has two sons: the pragmatic Emre and the adventurous, free-spirited Can. When Sanem's unconventional charm catches Can's eye, she finds herself swept up in a whirlwind of corporate intrigue, magical moments, and an unexpected romance."
3,Hold My Hand,Elimi Bırakma,"Azra’s perfect life shatters when her father is found dead, leaving her and her autistic brother homeless after being cast out by their cruel stepmother. Her struggle for survival takes a darker turn when her vulnerable brother suddenly goes missing on the unforgiving streets.

Meanwhile, Cenk is the spoiled, irresponsible heir to a wealthy family, masking his guilt over his own father's death with reckless behavior. As a twist of fate intertwines his path with Azra's, it leads them both toward healing, love, and redemption."
4,The Immortals,Yaşamayanlar,"Mia is a young vampire driven by a single, desperate desire: to become human again. To achieve this, she must track down and destroy Dmitry, the powerful and ruthless vampire who originally turned her.

Her quest leads her to the dark, glamorous underworld of a luxury nightclub in Istanbul. Forming an uneasy alliance with a group of young rebels, Mia finds herself caught in a deadly war between good and evil vampires, testing her humanity and her heart."
5,Breathless,Nefes Nefese,"Raised in Berlin by her father, Rüya embarks on a dangerous journey to Syria to find the mother she never knew. Her path takes a dramatic turn in the border city of Antakya, where she is forced into a fake marriage to cross the perilous border, entangling her with a militant smuggling ring.

There, she crosses paths with Yusuf, a man desperately searching for his abducted father. When Yusuf takes Rüya hostage as a bargaining chip, their initial hostility slowly transforms into an unexpected bond of love and survival.

As they navigate a treacherous web of border intrigue, Rüya uncovers a shocking betrayal: the mastermind behind the smuggling ring is none other than her own father. Now, she must fight not only for her life, but for the truth about her family."
6,Bitter Lands,Bir Zamanlar Çukurova,"Bitter Lands tells the story of a legendary love that begins in Istanbul during the 1970s and continues in the fertile lands of Çukurova in southern Turkey through the trials of evil, ambition and tyranny. Yılmaz, who commits murder in order to protect Züleyha from the cruelty of her own family, and Züleyha, who would rather die than give up on Yılmaz, embark on a grueling escape journey.

Fate takes these passionate lovers to Adana, where they will end up on the vast and fruitful lands of the modern and powerful landowner Demir and his dominant mother Hünkar. A simple lie the runaway lovers tell in order not to be separated from each other will turn their lives upside down and destroy any hopes of salvation they had, leaving them in the midst of utter turmoil.

Will Yılmaz and Züleyha’s legendary love overcome all obstacles? How long will a modern-day lord, accustomed to getting everything he wants, continue to love a woman who only allows him in physically but never into her heart? Bitter Lands asks all the essential questions about love and possession."
7,A Crazy Wind,Bir Deli Rüzgar,"Thirty years ago, Melike learned the hard way what it means to pursue dreams of fame as a singer. Now fallen on hard times and her dreams long shattered, she sees in young Gökçe the same naive longing for success and believes it will only bring heartache. Together, they seek a way to stop history repeating itself. Melike’s youth was shaped by her determination to become a star. She achieved fame in the 1970s and 80s, but her glory days as a famous, headlining music hall act eventually crumbled into dust. Left penniless and unknown, she now makes a living cleaning toilets in a night club. It is now Gökçe who is chasing the same dream of stardom. She is young, beautiful and ambitious. When Melike meets her, it brings the memories flooding back.

Gökçe rebels against her father, just as she did in the 70s. She flees the family home with just a small backpack on her shoulder, to pursue her dream. They first cross paths on a busy Saturday night at the club, when Melike reveals the truth about her life. She introduces her foster son, a street musician, and they gradually become close. But for all the love the woman feel for each other, their feelings remain mixed. Melike takes it upon herself to warn Gökçe how dangerous the path to fame is. She recalls the time her father shouted and hit her, accusing her of hanging out with bad people and getting drunk. “If they are like wolves, I will be like a jackal”, she recalls saying in response to her family’s warnings. Now when Melike warns Gökçe, she responds in a similar irritated way.

Hypnotized by the prospect of fame, she does not want to be demoralized and tries to block her ears to the warnings. “Who are you to tell me what to do?” she asks when she is told to give up on her dreams. Gökçe’s views change when she meets Uğur, the son that Melike had to leave behind as a baby. Now a famous club owner, he hates his mother and is responsible for ruining her career and leading her into her current situation. Now he sets his sights on Gökçe, keen to harm anyone close to Melike. Cunningly, he sucks her in, appealing to all her weak points. He hires her as the main singer in his club, introducing her to the regulars there. They are all older men with money, who have a taste for young women. But Uğur’s devious plan to ruin Gökçe’s does not take her charm into account. He falls desperately in love with Gökçe. His battle is no longer with his mother, but coming to terms with whom he has become."
8,Gülperi,Gülperi,"A woman struggles to fulfill her dreams in the face of a tyrannical family determined to control her every step, battling alone to win the hearts of her children turned against her and carve out the loving life she craves. In a world dominated by men, Gulperi’s father forces her to surrender her dreams of education and first love, Kadir. Hopes of salvation come with her suitor, Eyup, and they flee to his family home. There too, she will face hostility, as they build a life together with their three children.

Tragedy strikes when Eyup dies on a trip to Syria. Forced to live in his family’s home, Gulperi stands alone against her in-laws, who try to turn her children against her. An attempt by Eyup’s brother to rape her ends with her wounding him badly. Gulperi is sentenced to prison.

Upon her release, she flees to Istanbul, forced to abandon her children. Rekindling her friendship with Kadir, a successful lawyer, he helps her win custody of the children. Gulperi must still win back their love, but for her father-in-law Yakup the battle continues, as he schemes to lure the children back. It will be Kadir again who comes to the rescue, forcing Yakup to let them go. Gulperi will face a new challenge, as she finds her love for Kadir reignited. With that love threatening her dream of family bliss, and Yakup still plotting to win back his grandchildren, Gulperi’s struggles are far from over."
9,Broken Lives,Can Kırıkları,"Two police women trying to cope with their past reunite after many years and together, they seek revenge and justice while building a new life."
10,Waves of Hope,Bir Umut Yeter,"Yilmaz does not have much expectation of life, until he meets Elif.

In a very short time, Yılmaz gets so much impressed by her, that with the insistence of Elif, the two young people decide to marry. Elif's miscarriages shake their marriage, but by suprise, a newborn baby enters their life..."
